1,1,1378.95,529.29,68.32,129.58,0.8542,-1,-1,-1
1,2,1040.70,705.79,97.17,162.15,0.8454,-1,-1,-1
1,3,1274.82,690.31,70.33,156.90,0.8381,-1,-1,-1
1,4,1289.75,417.32,52.26,89.38,0.8380,-1,-1,-1
1,5,1095.35,424.13,45.59,101.87,0.8344,-1,-1,-1
1,6,1602.32,366.78,41.53,81.27,0.8236,-1,-1,-1
1,7,1646.08,400.64,36.64,90.38,0.8065,-1,-1,-1
1,8,1273.11,293.08,33.57,63.99,0.8044,-1,-1,-1
1,9,1485.21,524.99,44.26,127.68,0.8018,-1,-1,-1
1,10,165.30,413.52,58.13,108.58,0.7951,-1,-1,-1
1,11,23.93,688.02,80.39,144.77,0.7923,-1,-1,-1
1,12,319.36,514.39,52.27,116.74,0.7832,-1,-1,-1
1,13,689.18,616.49,54.50,145.33,0.7731,-1,-1,-1
1,14,977.62,252.09,27.16,56.16,0.7716,-1,-1,-1
1,15,109.48,345.75,39.89,87.26,0.7472,-1,-1,-1
1,16,584.17,315.48,28.76,72.01,0.7292,-1,-1,-1
1,17,266.31,218.11,24.09,46.81,0.7041,-1,-1,-1
1,18,683.91,820.44,21.10,19.77,0.6653,-1,-1,-1
1,19,1120.77,364.85,34.35,80.97,0.6525,-1,-1,-1
1,20,1129.80,365.02,34.26,79.17,0.4457,-1,-1,-1
2,1,1384.98,528.58,65.26,128.57,0.8618,-1,-1,-1
2,2,1044.75,705.72,99.13,161.29,0.8453,-1,-1,-1
2,3,1283.45,687.60,70.33,157.45,0.8660,-1,-1,-1
2,4,1295.18,417.60,52.76,88.36,0.8347,-1,-1,-1
2,5,1102.90,423.28,45.97,102.31,0.8073,-1,-1,-1
2,6,1604.13,366.53,43.31,81.43,0.8146,-1,-1,-1
2,7,1649.58,400.18,36.51,90.01,0.8032,-1,-1,-1
2,8,1276.80,293.38,33.06,63.55,0.8006,-1,-1,-1
2,9,1489.62,524.59,45.12,127.83,0.8163,-1,-1,-1
2,10,175.36,413.68,52.26,107.27,0.8019,-1,-1,-1
2,11,34.90,687.09,77.68,149.38,0.7975,-1,-1,-1
2,12,326.66,513.64,50.03,116.96,0.7812,-1,-1,-1
2,13,695.92,613.63,60.59,146.05,0.7835,-1,-1,-1
2,14,982.03,251.59,25.97,55.60,0.7722,-1,-1,-1
2,15,113.00,345.95,41.11,86.49,0.7613,-1,-1,-1
2,16,587.65,316.04,29.66,71.20,0.7290,-1,-1,-1
2,17,269.81,217.21,25.56,49.18,0.7248,-1,-1,-1
2,18,680.75,820.03,20.99,20.15,0.7164,-1,-1,-1
2,19,1123.74,367.61,34.87,80.06,0.6523,-1,-1,-1
2,20,1133.32,364.64,31.60,78.80,0.6606,-1,-1,-1
3,1,1393.53,527.52,57.78,126.41,0.8479,-1,-1,-1
3,2,1048.37,705.11,99.09,160.80,0.8427,-1,-1,-1
3,3,1289.75,685.42,70.83,159.17,0.8611,-1,-1,-1
3,4,1300.50,417.69,52.35,87.52,0.8366,-1,-1,-1
3,5,1109.67,421.21,44.08,104.37,0.7944,-1,-1,-1
3,6,1608.13,366.42,42.68,80.84,0.8101,-1,-1,-1
3,7,1652.39,399.70,37.33,90.54,0.8024,-1,-1,-1
3,8,1281.13,293.48,32.43,63.14,0.7978,-1,-1,-1
3,9,1492.82,524.80,47.40,127.08,0.8274,-1,-1,-1
3,10,185.43,411.79,49.81,108.74,0.7863,-1,-1,-1
3,11,45.88,686.48,78.99,151.90,0.8335,-1,-1,-1
3,12,336.12,513.53,45.27,115.88,0.7703,-1,-1,-1
3,13,702.67,611.96,64.59,146.23,0.8004,-1,-1,-1
3,14,987.04,250.09,24.61,56.63,0.7578,-1,-1,-1
3,15,118.02,346.18,39.72,86.30,0.7699,-1,-1,-1
3,16,591.09,315.65,30.90,70.86,0.7094,-1,-1,-1
3,17,272.65,218.21,26.00,48.05,0.7045,-1,-1,-1
3,18,676.11,819.79,21.27,20.27,0.6988,-1,-1,-1
3,20,1132.79,363.63,36.17,81.66,0.7713,-1,-1,-1
4,1,1400.84,526.77,51.79,124.37,0.8599,-1,-1,-1
4,2,1051.20,704.85,101.97,159.95,0.8768,-1,-1,-1
4,3,1297.04,685.44,72.04,157.82,0.8494,-1,-1,-1
4,4,1305.74,416.81,50.94,88.34,0.8471,-1,-1,-1
4,5,1115.63,419.90,45.36,105.01,0.7862,-1,-1,-1
4,6,1610.77,366.87,42.90,80.39,0.8122,-1,-1,-1
4,7,1655.02,399.83,38.39,90.10,0.7909,-1,-1,-1
4,8,1284.00,292.93,32.84,63.55,0.7972,-1,-1,-1
4,9,1496.51,524.52,50.41,127.10,0.8449,-1,-1,-1
4,10,193.57,411.24,48.86,108.94,0.7828,-1,-1,-1
4,11,54.98,687.03,81.69,152.45,0.8254,-1,-1,-1
4,12,342.44,513.81,43.51,115.48,0.7622,-1,-1,-1
4,13,709.24,610.23,70.92,148.01,0.8057,-1,-1,-1
4,14,991.60,250.71,23.30,55.33,0.7584,-1,-1,-1
4,15,123.33,346.72,40.40,85.62,0.7772,-1,-1,-1
4,16,593.14,315.73,32.22,70.61,0.6984,-1,-1,-1
4,17,277.73,218.24,25.43,48.40,0.6648,-1,-1,-1
4,18,671.39,819.58,20.70,20.51,0.6860,-1,-1,-1
4,20,1136.67,362.20,38.90,84.00,0.7631,-1,-1,-1
5,1,1407.62,525.83,47.11,124.41,0.8427,-1,-1,-1
5,2,1054.63,704.13,104.09,160.33,0.8647,-1,-1,-1
5,3,1306.29,686.64,70.89,155.28,0.8699,-1,-1,-1
5,4,1309.25,415.78,49.93,90.25,0.8461,-1,-1,-1
5,5,1119.88,419.37,41.43,104.97,0.7456,-1,-1,-1
5,6,1613.03,366.31,44.20,80.33,0.8150,-1,-1,-1
5,7,1657.78,399.66,38.81,89.51,0.8122,-1,-1,-1
5,8,1287.03,292.85,33.18,63.95,0.8042,-1,-1,-1
5,9,1499.21,524.62,53.05,126.17,0.8543,-1,-1,-1
5,10,201.16,411.32,50.97,108.68,0.7866,-1,-1,-1
5,11,65.10,687.82,83.48,153.82,0.8499,-1,-1,-1
5,12,348.36,513.97,43.35,115.12,0.7303,-1,-1,-1
5,13,714.49,609.71,76.53,147.54,0.8219,-1,-1,-1
5,14,995.62,250.56,23.04,56.32,0.7324,-1,-1,-1
5,15,128.77,346.52,40.52,84.22,0.7737,-1,-1,-1
5,16,597.21,316.21,31.38,70.24,0.7125,-1,-1,-1
5,17,281.85,217.73,26.62,48.09,0.7278,-1,-1,-1
5,18,666.44,819.65,20.18,20.48,0.6745,-1,-1,-1
5,20,1140.07,361.21,43.38,85.27,0.7886,-1,-1,-1
6,1,1412.82,524.37,44.15,125.51,0.8349,-1,-1,-1
6,2,1057.41,703.15,103.52,160.14,0.8589,-1,-1,-1
6,3,1317.07,688.53,67.79,151.74,0.8626,-1,-1,-1
6,4,1314.28,415.35,46.52,90.87,0.8369,-1,-1,-1
6,5,1124.03,417.80,39.12,107.63,0.7259,-1,-1,-1
6,6,1616.96,366.22,43.47,79.88,0.8086,-1,-1,-1
6,7,1660.11,399.71,39.45,89.55,0.8187,-1,-1,-1
6,8,1291.12,292.89,32.75,64.36,0.8037,-1,-1,-1
6,9,1502.00,524.36,54.43,125.02,0.8574,-1,-1,-1
6,10,208.20,411.13,51.83,108.99,0.7855,-1,-1,-1
6,11,77.28,691.34,80.52,152.18,0.8269,-1,-1,-1
6,12,353.38,514.75,44.37,115.11,0.7932,-1,-1,-1
6,13,719.36,610.48,78.03,147.42,0.8194,-1,-1,-1
6,14,999.13,249.62,23.48,57.36,0.7623,-1,-1,-1
6,15,133.38,347.51,40.82,82.94,0.7534,-1,-1,-1
6,16,600.77,316.15,30.64,71.09,0.7008,-1,-1,-1
6,17,285.80,218.99,26.21,46.98,0.7360,-1,-1,-1
6,18,660.26,818.45,21.88,21.70,0.7082,-1,-1,-1
6,20,1146.10,360.17,44.88,85.52,0.7616,-1,-1,-1
7,1,1417.95,524.30,42.75,125.16,0.8344,-1,-1,-1
7,2,1060.44,701.69,103.98,160.82,0.8727,-1,-1,-1
7,3,1329.37,689.60,62.33,149.26,0.8498,-1,-1,-1
7,4,1319.52,414.77,42.50,91.33,0.8363,-1,-1,-1
7,5,1128.00,415.92,45.71,110.23,0.7492,-1,-1,-1
7,6,1620.56,366.08,43.58,80.03,0.8240,-1,-1,-1
7,7,1662.55,399.63,39.93,89.48,0.8136,-1,-1,-1
7,8,1296.28,293.23,30.36,64.23,0.7863,-1,-1,-1
7,9,1504.91,523.54,56.19,124.81,0.8683,-1,-1,-1
7,10,214.08,411.63,54.99,108.35,0.7988,-1,-1,-1
7,11,93.40,693.22,75.10,150.36,0.8015,-1,-1,-1
7,12,358.26,515.79,46.00,114.70,0.8014,-1,-1,-1
7,13,724.27,610.10,77.54,148.35,0.8208,-1,-1,-1
7,14,1002.87,250.23,22.58,56.69,0.7653,-1,-1,-1
7,15,137.78,347.93,39.68,83.28,0.7556,-1,-1,-1
7,16,603.97,316.19,30.58,70.83,0.6976,-1,-1,-1
7,17,290.19,219.26,24.82,46.30,0.7351,-1,-1,-1
7,18,656.35,818.75,21.35,21.38,0.7294,-1,-1,-1
7,20,1152.07,359.91,44.12,85.10,0.7778,-1,-1,-1
8,1,1421.58,523.74,44.54,125.62,0.8328,-1,-1,-1
8,2,1063.49,700.59,103.24,159.26,0.8663,-1,-1,-1
8,3,1341.39,688.18,56.97,149.36,0.8496,-1,-1,-1
8,4,1324.84,414.94,37.84,90.53,0.8220,-1,-1,-1
8,5,1131.07,415.55,48.70,111.73,0.7539,-1,-1,-1
8,6,1623.93,366.33,41.29,79.86,0.8257,-1,-1,-1
8,7,1665.33,399.95,38.90,89.05,0.8048,-1,-1,-1
8,8,1301.99,292.42,27.44,65.34,0.7631,-1,-1,-1
8,9,1508.18,522.37,56.05,124.34,0.8715,-1,-1,-1
8,10,221.20,412.87,56.17,106.47,0.8055,-1,-1,-1
8,11,104.97,693.25,78.28,150.71,0.7673,-1,-1,-1
8,12,362.30,517.03,46.66,113.59,0.7952,-1,-1,-1
8,13,732.07,609.23,73.83,147.48,0.8314,-1,-1,-1
8,14,1005.13,249.98,23.43,56.98,0.7780,-1,-1,-1
8,15,141.76,348.18,38.43,83.76,0.7416,-1,-1,-1
8,16,607.42,316.59,29.09,70.39,0.7147,-1,-1,-1
8,17,293.79,219.19,24.73,46.38,0.7361,-1,-1,-1
8,18,650.98,818.46,21.32,21.59,0.6688,-1,-1,-1
8,20,1163.62,361.04,38.27,83.98,0.7766,-1,-1,-1
8,19,1147.85,360.84,36.02,81.69,0.7365,-1,-1,-1
9,1,1424.80,523.02,47.32,125.78,0.8372,-1,-1,-1
9,2,1066.65,698.26,103.31,159.15,0.8548,-1,-1,-1
9,3,1350.14,687.16,54.36,149.61,0.8419,-1,-1,-1
9,4,1327.78,414.50,38.67,90.46,0.8247,-1,-1,-1
9,5,1134.52,415.36,51.92,112.51,0.7470,-1,-1,-1
9,6,1626.84,366.29,40.71,80.05,0.8225,-1,-1,-1
9,7,1667.41,399.70,38.98,88.78,0.8029,-1,-1,-1
9,8,1308.22,292.44,25.05,65.34,0.7501,-1,-1,-1
9,9,1512.17,520.71,56.37,125.59,0.8609,-1,-1,-1
9,10,227.05,413.58,58.57,104.71,0.8002,-1,-1,-1
9,11,118.70,692.81,78.92,150.67,0.7810,-1,-1,-1
9,12,366.09,517.60,47.03,114.23,0.7952,-1,-1,-1
9,13,739.76,607.47,71.90,147.65,0.8151,-1,-1,-1
9,14,1007.78,250.28,25.27,56.58,0.7896,-1,-1,-1
9,15,145.66,348.61,38.47,84.63,0.7490,-1,-1,-1
9,16,610.64,316.43,29.09,71.21,0.7532,-1,-1,-1
9,17,297.05,219.05,24.83,46.39,0.7236,-1,-1,-1
9,18,645.87,816.70,21.13,21.76,0.6996,-1,-1,-1
9,20,1170.50,362.28,36.92,83.19,0.7538,-1,-1,-1
9,19,1151.51,360.04,35.84,79.85,0.7282,-1,-1,-1
10,1,1427.35,521.96,50.76,127.66,0.8431,-1,-1,-1
10,2,1070.95,696.50,103.37,158.80,0.8515,-1,-1,-1
10,3,1356.48,684.31,55.14,152.01,0.8456,-1,-1,-1
10,4,1330.53,414.11,41.63,91.59,0.8347,-1,-1,-1
10,5,1136.99,414.83,48.87,114.01,0.7447,-1,-1,-1
10,6,1630.70,365.95,40.17,80.27,0.7998,-1,-1,-1
10,7,1670.65,399.13,39.66,88.76,0.8036,-1,-1,-1
10,8,1313.08,291.83,25.75,66.59,0.7615,-1,-1,-1
10,9,1517.73,519.38,54.66,127.83,0.8455,-1,-1,-1
10,10,231.74,413.80,62.12,104.99,0.8097,-1,-1,-1
10,11,131.19,691.02,78.52,153.07,0.7911,-1,-1,-1
10,12,369.52,518.53,47.28,114.73,0.7731,-1,-1,-1
10,13,750.96,605.62,65.34,147.92,0.8107,-1,-1,-1
10,14,1010.76,249.61,27.14,56.74,0.7875,-1,-1,-1
10,15,150.14,348.35,38.24,85.55,0.7869,-1,-1,-1
10,16,614.32,315.77,28.96,72.00,0.7228,-1,-1,-1
10,17,301.58,218.74,24.54,46.48,0.6901,-1,-1,-1
10,18,642.01,817.47,20.67,21.96,0.6892,-1,-1,-1
